CommitHash,CommitMsg,CommitDate,CommitFileModifications,ModifiesJavaFile?
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,res/drawable/googleplus.png,MODIFY
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,res/layout/activity_about.xml,MODIFY
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
4dcd39d57ee2d242f5cc705dd29eae465bbd254c,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/AboutActivity.java,MODIFY
717fd7515846c2425162fec5e40e3b26c42ffb49,Federico Iosue,Federico Iosue,libs/GoogleAdMobAdsSdk-6.4.1.jar,ADD
717fd7515846c2425162fec5e40e3b26c42ffb49,Federico Iosue,Federico Iosue,libs/libGoogleAnalyticsServices.jar,ADD
717fd7515846c2425162fec5e40e3b26c42ffb49,Federico Iosue,Federico Iosue,res/values/analytics.xml,ADD
717fd7515846c2425162fec5e40e3b26c42ffb49,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/AboutActivity.java,MODIFY
717fd7515846c2425162fec5e40e3b26c42ffb49,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/BaseFragmentActivity.java,MODIFY
efa74292d087f3992bcc960f8b8e16b7be875537,Federico Iosue,Federico Iosue,res/drawable/logo.png,ADD
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,res/layout/activity_item_list.xml,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/BaseFragmentActivity.java,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListActivity.java,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/Constants.java,MODIFY
e6f3db8ea3dd2edfac9e0f1862013ea94a6efb27,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/drawable-hdpi/ic_drawer.png,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/drawable-mdpi/ic_drawer.png,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/drawable-xhdpi/ic_drawer.png,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/drawable/ic_archive_dark.png,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/drawable/ic_drawer.png,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/drawable/ic_unarchive_dark.png,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/layout/activity_item_list.xml,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/layout/drawer_list_item.xml,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/values/arrays.xml,ADD
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/BaseFragmentActivity.java,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListActivity.java,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/models/Note.java,MODIFY
6cdc291dacef60e6ebec240577b864e83848c39a,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,res/layout/activity_about.xml,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,res/layout/drawer_list_item.xml,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,res/values/colors.xml,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,res/values/styles.xml,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/BaseFragmentActivity.java,MODIFY
b094fab6137316c4a658f9fe0bd9c97206e049f6,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/utils/DbHelper.java,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,res/layout/fragment_item_detail.xml,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,res/menu/menu.xml,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,res/values/strings.xml,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,res/values/styles.xml,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailActivity.java,MODIFY
12ae240929545b7bce5f9d0820e6406f3755ce9f,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemDetailFragment.java,MODIFY
bb68b967273bdafe64bbf6f165fce3fee635a0b1,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
cff841eb6380e80770cebe9845b762c52ba51848,Federico Iosue,Federico Iosue,src/it/feio/android/omninotes/ItemListFragment.java,MODIFY
78c43faa45ccb48ac061494c048cde539180ff07,Federico Iosue,Federico Iosue,AndroidManifest.xml,MODIFY
