CommitId;RefactoringType;RefactoringDetail
6a64dd276372a04cd5d0bf2397da5f1c911117ae;Rename Method;Rename Method	public nextReminderFromRecurrenceRule() : void renamed to public nextReminderFromRecurrenceRule_3days() : void in class it.feio.android.omninotes.utils.date.RecurrenceHelperTest
10debcbd2e39cccd9530f508cd514e6c3debdf63;Extract Method;Extract Method	private autobackupUpdate(updatedNotes List<Note>) : void extracted from public onEventAsync(notesUpdatedEvent NotesUpdatedEvent) : void in class it.feio.android.omninotes.MainActivity
10debcbd2e39cccd9530f508cd514e6c3debdf63;Extract Method;Extract Method	private autobackupDeletion(deletedNotes List<Note>) : void extracted from public onEventAsync(notesDeletedEvent NotesDeletedEvent) : void in class it.feio.android.omninotes.MainActivity
10debcbd2e39cccd9530f508cd514e6c3debdf63;Extract Method;Extract Method	public getBackupNoteFile(backupDir File, note Note) : File extracted from public exportNote(backupDir File, note Note) : void in class it.feio.android.omninotes.helpers.BackupHelper
10debcbd2e39cccd9530f508cd514e6c3debdf63;Extract Method;Extract Method	public getBackupNoteFile(backupDir File, note Note) : File extracted from public integrityCheck(context Context, backupDir File) : List<LinkedList<DiffMatchPatch.Diff>> in class it.feio.android.omninotes.helpers.BackupHelper
fb82dfa19fa492cc1a47fb085d55456aa19d9726;Move Class;Move Class	it.feio.android.omninotes.test.helpers.BackupHelperTest moved to it.feio.android.omninotes.helpers.BackupHelperTest
5dba54b8d04f508fc8e358e014f76f63d3fb5ac0;Rename Class;Rename Class	it.feio.android.omninotes.FabActionsTest renamed to it.feio.android.omninotes.FabLifecycleTest
107c551d54bb1e45ff6d719fd240e13a8680f05d;Rename Method;Rename Method	public test01AddNewCategory() : void renamed to public categoryColorChange() : void in class it.feio.android.omninotes.CategoryLifecycleTest
107c551d54bb1e45ff6d719fd240e13a8680f05d;Rename Method;Rename Method	public test02CheckCategoryCreation() : void renamed to public checkCategoryCreation() : void in class it.feio.android.omninotes.CategoryLifecycleTest
107c551d54bb1e45ff6d719fd240e13a8680f05d;Rename Method;Rename Method	public test03CategoryColorChange() : void renamed to public categoryDeletion() : void in class it.feio.android.omninotes.CategoryLifecycleTest
107c551d54bb1e45ff6d719fd240e13a8680f05d;Extract Method;Extract Method	public addNewCategory() : void extracted from public test01AddNewCategory() : void in class it.feio.android.omninotes.CategoryLifecycleTest
107c551d54bb1e45ff6d719fd240e13a8680f05d;Extract Method;Extract Method	public addNewCategory() : void extracted from public test03CategoryColorChange() : void in class it.feio.android.omninotes.CategoryLifecycleTest
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Attribute;Pull Up Attribute	protected dbHelper : DbHelper from class it.feio.android.omninotes.db.DbHelperTest to class it.feio.android.omninotes.BaseAndroidTestCase
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Extract Superclass;Extract Superclass	it.feio.android.omninotes.BaseEspressoTest from classes [it.feio.android.omninotes.CategoryLifecycleTest, it.feio.android.omninotes.FabActionsTest, it.feio.android.omninotes.FabOpenCloseTest]
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Attribute;Pull Up Attribute	protected dbHelper : DbHelper from class it.feio.android.omninotes.db.DbHelperTest to class it.feio.android.omninotes.BaseAndroidTestCase
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Attribute;Pull Up Attribute	protected dbHelper : DbHelper from class it.feio.android.omninotes.db.DbHelperTest to class it.feio.android.omninotes.BaseAndroidTestCase
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Method;Pull Up Method	private childAtPosition(parentMatcher Matcher<View>, position int) : Matcher<View> from class it.feio.android.omninotes.CategoryLifecycleTest to protected childAtPosition(parentMatcher Matcher<View>, position int) : Matcher<View> from class it.feio.android.omninotes.BaseEspressoTest
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Attribute;Pull Up Attribute	public mActivityTestRule : ActivityTestRule<MainActivity> from class it.feio.android.omninotes.CategoryLifecycleTest to class it.feio.android.omninotes.BaseEspressoTest
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Method;Pull Up Method	private childAtPosition(parentMatcher Matcher<View>, position int) : Matcher<View> from class it.feio.android.omninotes.FabActionsTest to protected childAtPosition(parentMatcher Matcher<View>, position int) : Matcher<View> from class it.feio.android.omninotes.BaseEspressoTest
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Attribute;Pull Up Attribute	public mActivityTestRule : ActivityTestRule<MainActivity> from class it.feio.android.omninotes.FabActionsTest to class it.feio.android.omninotes.BaseEspressoTest
c647ad5cefee66bab07de4a25d3c6412f9d5ed5f;Pull Up Attribute;Pull Up Attribute	public mActivityTestRule : ActivityTestRule<MainActivity> from class it.feio.android.omninotes.FabOpenCloseTest to class it.feio.android.omninotes.BaseEspressoTest
