CommitId;RefactoringType;RefactoringDetail
9a2f048e1a3bff88885f50dc09aad0c462c460e5;Move Source Folder;Move Source Folder	app/src/main to app/src/play
743ac4f4f7ab0bf2505ca0a9c1300d06a241ec11;Move Source Folder;Move Source Folder	Test to NoNonsenseNotes/Test
743ac4f4f7ab0bf2505ca0a9c1300d06a241ec11;Move Source Folder;Move Source Folder	src to NoNonsenseNotes/src
bf3c821d35cc36956b44c299f093446a4d72d5d0;Rename Method;Rename Method	public AllLists() : String renamed to public InsertLists() : String in class com.nononsenseapps.notepad.sync.googleapi.GoogleAPITalker
f1ece971710ac944f2d30532b99136a2b6d6c848;Rename Method;Rename Method	private AllTasksCompletedMin(listId String timestamp String) : String renamed to private allTasksUpdatedMin(listId String timestamp String) : String in class com.nononsenseapps.notepad.sync.googleapi.GoogleAPITalker
b60fea7514f5132992b80b46b6a10ce6fd77649e;Extract Method;Extract Method	private openNoteFragment(intent Intent) : void extracted from private handleEditIntent(intent Intent) : void in class com.nononsenseapps.notepad.MainActivity
04946c0b9a7dbd133255fddf156426cf08ca9192;Extract Method;Extract Method	public getAList(context Context tempList long) : long extracted from private getAList(intent Intent) : long in class com.nononsenseapps.notepad.MainActivity
149b2cfbe61d37b0fbb0b8c862eedca2efc7adf1;Rename Method;Rename Method	private showNoteAndSelect(index int) : void renamed to private showNote(index int) : int in class com.nononsenseapps.notepad.NotesListFragment
149b2cfbe61d37b0fbb0b8c862eedca2efc7adf1;Inline Method;Inline Method	private showNote(index int) : void inlined to private showNote(index int) : int in class com.nononsenseapps.notepad.NotesListFragment
149b2cfbe61d37b0fbb0b8c862eedca2efc7adf1;Move Method;Move Method	private enableSync() : void from class com.nononsenseapps.notepad.NotesListFragment to private enableSync() : void from class com.nononsenseapps.notepad.MainActivity
149b2cfbe61d37b0fbb0b8c862eedca2efc7adf1;Move Method;Move Method	private requestSync(accountName String) : void from class com.nononsenseapps.notepad.NotesListFragment to private requestSync(accountName String) : void from class com.nononsenseapps.notepad.MainActivity
9b5f23f25862a2b9aeacc8130a042e8bde256d52;Rename Method;Rename Method	private noteWithDescendants(noteId String truepos String) : String renamed to private noteDescendants(listId Long truepos String) : String in class com.nononsenseapps.notepad.NotePadProvider
9b5f23f25862a2b9aeacc8130a042e8bde256d52;Rename Method;Rename Method	private noteDescendants(truepos String) : String renamed to private noteWithDescendants(noteId String listId Long truepos String) : String in class com.nononsenseapps.notepad.NotePadProvider
