CommitId;RefactoringType;RefactoringDetail
e1ca35f6fb8e1a60b7d901246b3f26fe4e1f9003;Rename Method;Rename Method	private updateTechinicalInfo() : void renamed to private updateTechnicalInfo() : void in class eu.faircode.netguard.ActivitySettings
29258ce20ace8d255465a291dd217bf509e6c7a2;Rename Method;Rename Method	private updateUnused(rule Rule enabled boolean) : void renamed to private updateScreenWifi(rule Rule enabled boolean) : void in class eu.faircode.netguard.RuleAdapter
878ba1eeec725e98139f811a228182461a9d72f8;Rename Method;Rename Method	private IABgetIntent(sku String) : IntentSender renamed to private IABgetBuyIntent(sku String) : PendingIntent in class eu.faircode.netguard.IAB
fe7ef2367c15efce2e890bd8aba0aade30dd93ea;Move Attribute;Move Attribute	private interactiveStateReceiver : BroadcastReceiver from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.ActivitySettings
fe7ef2367c15efce2e890bd8aba0aade30dd93ea;Move Attribute;Move Attribute	private interactiveStateReceiver : BroadcastReceiver from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.ActivitySettings
fe7ef2367c15efce2e890bd8aba0aade30dd93ea;Move Attribute;Move Attribute	private interactiveStateReceiver : BroadcastReceiver from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.ActivitySettings
fe7ef2367c15efce2e890bd8aba0aade30dd93ea;Rename Method;Rename Method	private updateNetworkSummary() : void renamed to private updateTechinicalInfo() : void in class eu.faircode.netguard.ActivitySettings
f60084748015e02998012497344572f5a0fe870c;Move Attribute;Move Attribute	private SKU_DONATE : String from class eu.faircode.netguard.ActivityMain to class eu.faircode.netguard.IAB
f60084748015e02998012497344572f5a0fe870c;Move Method;Move Method	private IABisAvailable(sku String service IInAppBillingService context Context) : boolean from class eu.faircode.netguard.ActivityMain to private IABisAvailable(sku String) : boolean from class eu.faircode.netguard.IAB
f60084748015e02998012497344572f5a0fe870c;Move Method;Move Method	private IABisPurchased(sku String service IInAppBillingService context Context) : boolean from class eu.faircode.netguard.ActivityMain to private IABisPurchased(sku String) : boolean from class eu.faircode.netguard.IAB
f60084748015e02998012497344572f5a0fe870c;Move Method;Move Method	private IABgetIntent(sku String service IInAppBillingService context Context) : IntentSender from class eu.faircode.netguard.ActivityMain to private IABgetIntent(sku String) : IntentSender from class eu.faircode.netguard.IAB
f60084748015e02998012497344572f5a0fe870c;Move Method;Move Method	private getIABResult(responseCode int) : String from class eu.faircode.netguard.ActivityMain to public getIABResult(responseCode int) : String from class eu.faircode.netguard.IAB
84617b9b00783fe11cfdc892cdfb116b3442ae5e;Extract Method;Extract Method	private updateNetworkSummary() : void extracted from public setup(screen PreferenceScreen) : void in class eu.faircode.netguard.ActivitySettings
14b0aea10541c1a043c3322f279a910f755f4180;Rename Method;Rename Method	public isLocalNetwork(context Context) : boolean renamed to public isWifiActive(context Context) : boolean in class eu.faircode.netguard.Util
e551837538a4a08efdbdb37aa3c6ede83c91de13;Rename Method;Rename Method	public isWifiActive(context Context) : boolean renamed to public isLocalNetwork(context Context) : boolean in class eu.faircode.netguard.Util
e551837538a4a08efdbdb37aa3c6ede83c91de13;Rename Method;Rename Method	public isMetered(context Context) : boolean renamed to public isMeteredNetwork(context Context) : boolean in class eu.faircode.netguard.Util
3d486fde21a02aedbedf29545092cd50e7115a41;Extract Method;Extract Method	private handleIntent(intent Intent) : void extracted from public handleMessage(msg Message) : void in class eu.faircode.netguard.SinkholeService.ServiceHandler
bcbab87a251b37bc39f3731834a993e5277b2e7d;Extract Method;Extract Method	public getNetworkGeneration(networkType int) : String extracted from public isMetered(context Context) : boolean in class eu.faircode.netguard.Util
5ed4728a246b345eb9742a7c58ab1a9064307c49;Move Attribute;Move Attribute	private INTENT_VPN_SETTINGS : Intent from class eu.faircode.netguard.FragmentSettings to class eu.faircode.netguard.ActivitySettings
5ed4728a246b345eb9742a7c58ab1a9064307c49;Move Attribute;Move Attribute	private INTENT_VPN_SETTINGS : Intent from class eu.faircode.netguard.FragmentSettings to class eu.faircode.netguard.ActivitySettings
5ed4728a246b345eb9742a7c58ab1a9064307c49;Move Attribute;Move Attribute	private INTENT_VPN_SETTINGS : Intent from class eu.faircode.netguard.FragmentSettings to class eu.faircode.netguard.ActivitySettings
5ed4728a246b345eb9742a7c58ab1a9064307c49;Move Method;Move Method	private getIntentCreateDocument() : Intent from class eu.faircode.netguard.FragmentSettings to private getIntentCreateDocument() : Intent from class eu.faircode.netguard.ActivitySettings
5ed4728a246b345eb9742a7c58ab1a9064307c49;Move Method;Move Method	private getIntentOpenDocument() : Intent from class eu.faircode.netguard.FragmentSettings to private getIntentOpenDocument() : Intent from class eu.faircode.netguard.ActivitySettings
